BUGID,ROLD-DATE,RFIX-DATE,FIXER,INDUCERS
20213,2005-07-01 08:56:12,2009-02-24 09:22:09,Michel Dänzer,Zack Rusin;Keith Packard;Daniel Stone;Dave Airlie;Eric Anholt;Michel Dänzer;
94246,2014-10-13 11:40:06,2016-02-23 17:19:03,Michel Dänzer,Keith Packard;
23608,2008-02-15 13:36:34,2009-09-02 10:53:40,Peter Hutterer,Benjamin Close;
2792,2003-11-14 15:54:54,2005-03-23 19:58:45,Roland Mainz,Egbert Eich;Roland Mainz;Kaleb Keithley;
58398,2008-08-20 13:24:03,2012-12-18 14:12:40,Peter Hutterer,Adam Jackson;
2791,2003-11-14 15:54:54,2005-03-23 20:49:52,Roland Mainz,Kevin E Martin;Egbert Eich;Kaleb Keithley;
55564,2011-09-29 11:49:26,2012-12-03 13:25:19,Chris Wilson,Dave Airlie;
2789,2003-11-14 15:54:54,2005-03-23 00:32:49,Roland Mainz,Kaleb Keithley;
1695,2003-11-14 16:48:57,2004-12-13 03:42:32,Roland Mainz,Kaleb Keithley;
23286,2003-11-14 16:48:57,2009-09-23 10:53:51,Peter Hutterer,Eric Anholt;Kaleb Keithley;
51400,2012-06-20 13:53:53,2012-06-28 12:07:11,Christopher James Halse Rogers,Christopher James Halse Rogers;
5138,2003-11-25 19:29:01,2006-03-03 09:43:42,Alan Hourihane,Alexander Gottwald;Kaleb Keithley;
17728,2006-07-19 16:51:04,2008-10-09 16:50:54,Peter Hutterer,Daniel Stone;
5019,2005-09-24 02:40:51,2005-11-13 20:53:24,Alan Coopersmith,Kevin E Martin;Alan Coopersmith;Kristian Høgsberg;
18388,2008-05-21 10:17:53,2008-11-07 18:36:00,Julien Cristau,Kristian Høgsberg;
45623,2009-05-22 12:01:55,2012-07-06 12:06:13,Torsten Kaiser,Keith Packard;Adam Jackson;
91763,2015-07-07 18:19:50,2015-08-31 08:18:59,Olivier Fourdan,Olivier Fourdan;
43320,2009-04-15 17:21:08,2011-11-28 20:38:58,Alan Coopersmith,Peter Hutterer;Alan Coopersmith;
19233,2008-04-28 21:00:54,2009-01-13 13:05:32,Michel Dänzer,Owen Taylor;
93261,2003-11-14 15:54:54,2016-03-28 18:11:09,Adam Jackson,Kaleb Keithley;
23298,2003-11-14 15:54:54,2009-09-29 08:56:59,Michel Dänzer,Adam Jackson;Peter Hutterer;Eamon Walsh;Kaleb Keithley;
27654,2010-02-10 17:56:30,2010-04-15 10:55:53,Jeremy Huddleston,Jeremy Huddleston;
2560,2003-11-14 15:54:54,2005-03-07 23:02:59,Roland Mainz,Egbert Eich;Stuart Kreitman;Eric Anholt;Kaleb Keithley;
94596,2016-02-24 16:52:58,2016-03-24 17:42:47,Michel Dänzer,Michel Dänzer;
22642,2007-11-05 14:36:36,2009-07-10 20:06:02,Michel Dänzer,Daniel Stone;Michel Dänzer;
97065,2013-07-11 16:11:57,2016-08-08 17:25:35,Olivier Fourdan,Keith Packard;
36119,2003-11-14 15:54:54,2011-04-12 10:17:07,Peter Hutterer,Simon Thum;Peter Hutterer;Kaleb Keithley;
98030,2003-11-14 15:54:54,2016-10-28 08:04:43,Keith Packard,Kaleb Keithley;
53037,2011-10-03 11:42:08,2012-08-08 11:34:32,Peter Hutterer,Peter Hutterer;
24144,2005-06-09 16:22:27,2009-09-28 14:18:45,Peter Hutterer,Matthew Allum;
3763,2003-11-14 16:49:22,2005-07-12 18:16:03,Alan Coopersmith,Kaleb Keithley;
59937,2012-03-21 12:55:09,2013-01-29 10:24:32,Alan Coopersmith,Keith Packard;
59939,2011-12-20 16:32:52,2013-01-29 11:01:29,Peter Hutterer,Peter Hutterer;
32436,2010-11-27 22:36:44,2010-12-16 22:29:37,Alan Coopersmith,Alan Coopersmith;
17734,1999-11-19 13:54:06,2008-10-09 17:26:00,Peter Hutterer,Peter Hutterer;Dirk Hohndel;Daniel Stone;
